Nama,VGA,Processor,Penyimpanan,Ukuran Layar,RAM,Keyboard,Tipe Layar,Harga,0,1,2,3
RAZER BLADE ADVANCE 18 INTEL I9 13950HX 64GB DDR5 2TB SSD RTX4090-16GB 18.0 QHD+ 240HZ PKRGB WIN11HOME BLACK,NVIDIA RTX4090,Intel Core i9,2TB,18 Inch,16GB,Standart Keyboard,Non Touchscreen,94799000,NVIDIA RTX4090,Intel Core i9,2,18 Inch
RAZER BLADE ADVANCE 18 INTEL I9 13950HX 32GB DDR5 2TB SSD RTX4090-16GB 18.0 QHD+ 240HZ PKRGB WIN11HOME BLACK,NVIDIA RTX4090,Intel Core i9,2TB,18 Inch,16GB,Standart Keyboard,Non Touchscreen,84899000,NVIDIA RTX4080,Intel Core i7,1,16 Inch
RAZER BLADE ADVANCE 16 INTEL I9 13950HX 32GB DDR5 2TB SSD RTX4090-16GB 16.0 MINILED DUALMODE UHD+ 120HZ FHD+ 240HZ PKRGB WIN11HOME BLACK,NVIDIA RTX4090,Intel Core i9,2TB,16 Inch,16GB,Standart Keyboard,Non Touchscreen,66999000,NVIDIA RTX4070,AMD Ryzen 9,4,14 Inch
RAZER BLADE ADVANCE 16 INTEL I9 13950HX 32GB DDR5 1TB SSD RTX4080-16GB 16.0 QHD+ 240HZ PKRGB WIN11HOME BLACK,NVIDIA RTX4080,Intel Core i9,1TB,16 Inch,16GB,Standart Keyboard,Non Touchscreen,66999000,NVIDIA RTX4070TI,Intel Core i5,512,17 Inch
RAZER BLADE ADVANCE 16 INTEL I9 13950HX 16GB DDR5 1TB SSD RTX4070-8GB 16.0 QHD+ 240HZ PKRGB WIN11HOME BLACK,NVIDIA RTX4070,Intel Core i9,1TB,16 Inch,8GB,Standart Keyboard,Non Touchscreen,51999000,NVIDIA RTX3080TI,AMD Ryzen 5,256,15 Inch
RAZER BLADE ADVANCE 15 INTEL I7 13800H 16GB DDR5 1TB SSD RTX4070TI-8GB 15.6 QHD 240HZ 100DCIP3 PKRGB WIN11HOME,NVIDIA RTX4070TI,Intel Core i7,1TB,16 Inch,8GB,Standart Keyboard,Non Touchscreen,51999000,NVIDIA RTX3070TI,AMD Ryzen 7,,13 Inch
RAZER BLADE ADVANCE 15 INTEL I7 12800H 32GB DDR5 1TB SSD RTX3080TI-16GB 15.6 QHD 240HZ RGB WIN11HOME,NVIDIA RTX3080TI,Intel Core i7,1TB,16 Inch,16GB,Standart Keyboard,Non Touchscreen,53999000,NVIDIA RTX3070,Intel Core i3,,
RAZER BLADE ADVANCE 15 INTEL I7 12800H 16GB DDR5 1TB SSD RTX3070TI-8GB 15.6 QHD 240HZ RGB WIN11HOME,NVIDIA RTX3070TI,Intel Core i7,1TB,16 Inch,8GB,Standart Keyboard,Non Touchscreen,42499000,NVIDIA RTX3060,,,
RAZER BLADE 14 AMD RYZEN 9 6900HX 16GB DDR5 1TB SSD RTX3080TI-16GB 14.0 QHD 165HZ RGB WIN11HOME QUARTZ,NVIDIA RTX3080TI,AMD Ryzen 9,1TB,14 Inch,16GB,Standart Keyboard,Non Touchscreen,42299000,NVIDIA RTX4060,,,
RAZER BLADE 14 AMD RYZEN 9 6900HX 16GB DDR5 1TB SSD RTX3070TI-8GB 14.0 QHD 165HZ RGB WIN11HOME QUARTZ,NVIDIA RTX3070TI,AMD Ryzen 9,1TB,14 Inch,8GB,Standart Keyboard,Non Touchscreen,37999000,NVIDIA RTX3050TI,,,
RAZER BLADE 14 AMD RYZEN 9 6900HX 16GB DDR5 1TB SSD RTX3070TI-8GB 14.0 QHD 165HZ RGB WIN11HOME MERCURY,NVIDIA RTX3070TI,AMD Ryzen 9,1TB,14 Inch,8GB,Standart Keyboard,Non Touchscreen,37999000,NVIDIA GTX1650,,,
RAZER BLADE 14 AMD RYZEN 9 6900HX 16GB DDR5 1TB SSD RTX3070TI-8GB 14.0 QHD 165HZ RGB WIN11HOME BLACK,NVIDIA RTX3070TI,AMD Ryzen 9,1TB,14 Inch,8GB,Standart Keyboard,Non Touchscreen,37999000,NVIDIA MX450,,,
MSI VECTOR GP68HX 13VH INTEL I9 12900HX 32GB 2TB SSD RTX4080-12GB 16.0 QHD+ IPS 240HZ PKRGB WIN11HOME BLACK,NVIDIA RTX4080,Intel Core i9,2TB,16 Inch,32GB,Standart Keyboard,Non Touchscreen,47499000,NVIDIA RTX3050,,,
MSI VECTOR GP68HX 12VH INTEL I9 12900HX 16GB 1TB SSD RTX4080-12GB 16.0 QHD+ IPS 240HZ PKRGB WIN11HOME BLACK,NVIDIA RTX4080,Intel Core i9,1TB,16 Inch,16GB,Standart Keyboard,Non Touchscreen,36499000,NVIDIA RTX4050,,,
MSI VECTOR GP66 12UGS INTEL I7 12700H 16GB 1TB SSD RTX3070-8GB 15.6 QHD IPS 165HZ PKRGB WIN11HOME BLACK,NVIDIA RTX3070,Intel Core i7,1TB,16 Inch,8GB,Standart Keyboard,Non Touchscreen,32999000,NVIDIA GTX4050,,,
MSI TITAN GT77HX 13VI INTEL I9 13980HX 64GB DDR5 4TB SSD RTX4090-16GB 17.3 UHD 144HZ PKRGB MINILED WIN11HOME BLACK,NVIDIA RTX4090,Intel Core i9,4TB,17 Inch,16GB,Standart Keyboard,Non Touchscreen,87999000,NVIDIA GTX4060,,,
MSI TITAN GT77HX 13VI INTEL I9 13980HX 64GB DDR5 4TB SSD RTX4080-12GB 17.3 UHD 144HZ PKRGB MINILED WIN11HOME BLACK,NVIDIA RTX4080,Intel Core i9,4TB,17 Inch,64GB,Standart Keyboard,Non Touchscreen,76999000,NVIDIA GTX2050,,,
MSI TITAN GT77 13VI INTEL I9 13980HX 64GB DDR5 4TB SSD RTX4080-12GB 17.3″ UHD 144HZ PKRGB MINILED WIN11HOME BLACK,NVIDIA RTX4080,Intel Core i9,4TB,17 Inch,64GB,Standart Keyboard,Non Touchscreen,78799000,NVIDIA RTX2050,,,
MSI STEALTH 17M STUDIO A13VH INTEL I9 13900H 64GB 4TB SSD RTX4090-16GB 17.3 UHD 144HZ PKRGB MINILED WIN11HOME BLACK,NVIDIA RTX4090,Intel Core i9,4TB,17 Inch,16GB,Standart Keyboard,Non Touchscreen,80999000,NVIDIA GTX1660TI,,,
MSI STEALTH 17 STUDIO A13VH INTEL I9 13900H 64GB 2TB SSD RTX4080-12GB 17.3 UHD 144HZ PKRGB MINILED WIN11HOME BLACK,NVIDIA RTX4080,Intel Core i9,2TB,17 Inch,64GB,Standart Keyboard,Non Touchscreen,54999000,NVIDIA MX350,,,
MSI STEALTH 16 A13VG INTEL I7 13700H 32GB 2TB SSD RTX4070-8GB 16.0 QHD+ 240HZ 100SRGB PKRGB WIN11HOME STAR BLUE,NVIDIA RTX4070,Intel Core i7,2TB,16 Inch,8GB,Standart Keyboard,Non Touchscreen,40399000,AMD Radeon,,,
MSI STEALTH 15M B12UE INTEL I7 1280P 16GB 1TB SSD RTX3060-6GB 15.6 FHD IPS 144HZ RGB WIN11HOME BLACK,NVIDIA RTX3060,Intel Core i7,1TB,16 Inch,16GB,Standart Keyboard,Non Touchscreen,22999000,Intel Iris XE,,,
MSI STEALTH 15 A13VF INTEL I7 13620H 16GB 1TB SSD RTX4060-8GB 15.6 UHD 120HZ 100SRGB BL WIN11HOME BLACK,NVIDIA RTX4060,Intel Core i7,1TB,16 Inch,8GB,Backlit Keyboard,Non Touchscreen,29399000,NVIDIA MX550,,,
MSI STEALTH 14 A13VF INTEL I7 13700H 16GB 1TB SSD RTX4060-8GB 15.6 QHD+ IPS 240HZ 100SRGB PKRGB WIN11HOME STAR BLUE,NVIDIA RTX4060,Intel Core i7,1TB,16 Inch,8GB,Standart Keyboard,Non Touchscreen,31299000,NVIDIA RTX2550,,,
MSI RAIDER GE78HX 13VH INTEL I9 13980HX 64GB DDR5 2TB SSD RTX4070-8GB 17.0 QHD+ 240HZ PKRGB WIN11HOME BLACK,NVIDIA RTX4070,Intel Core i9,2TB,17 Inch,8GB,Standart Keyboard,Non Touchscreen,44399000,NVIDIA MX330,,,
MSI RAIDER GE78HX 13VH INTEL I9 13950HX 64GB DDR5 4TB SSD RTX4090-16GB 17.0 QHD+ 240HZ PKRGB WIN11HOME BLACK,NVIDIA RTX4090,Intel Core i9,4TB,17 Inch,16GB,Standart Keyboard,Non Touchscreen,70499000,NVIDIA MX530,,,
